タイトル,説明,URL
"最近話題の「カンナム」って？ - NAVER まとめ","<span class=""st"">2014年11月8日 <b>...</b> 近頃、注目されるようになってきた韓国男性グループ「M.I.B」のメンバー「<b>カンナム</b>」<br> について、まとめてみました.</span>",https://matome.naver.jp/odai/2141545953578125601</cite>
"カンナムスタイル 日本語字幕付き - YouTube","<span class=""st""><b>カンナム</b>の最新ニュース。韓国芸能・韓国ドラマ・韓国映画・K-POPまで、Kstyleでは、<br> あらゆる韓国エンタメ情報の最新ニュースをいち早くお届けします。</span>",news.kstyle.com/topicNews.ksn?topicNo=5380</cite>
"カンナムの記事リスト - Kstyle","<span class=""st"">2016年4月6日 <b>...</b> 韓国で人気ヒップホップグループのM.I.BのKangNam(<b>カンナム</b>)さんですが、実は日本<br> 人だって知ってますか？ 父親は日本人ですが、母親が韓国人のハーフなんです。 韓国<br> ではいろいろな情報（整形疑惑とか昔の彼女とか）が暴露されている&nbsp;...</span>",my-curious.net/442.html</cite>
"MIBのKangNam(カンナム)の過去！？整形や彼女の浮気も！？ - 気に ...","<span class=""st"">日本国籍をもつ日韓のハーフで、韓国バラエティを中心に活躍するKangNam(<b>カンナム</b>)<br> の日本公式ファンクラブ.</span>",https://kangnam.jp/</cite>
"KangNam JAPAN OFFICIAL FANCLUBカンナム 日本公式ファンクラブ","<span class=""st"">2016年7月7日 <b>...</b> 韓国で活動する日本人歌手・KangNam（<b>カンナム</b>）が、7月7日放送の『指原カイワイズ』<br> （フジテレビ系）に出演。「韓国でいま最も人気の日本人」と言われるようになった経緯<br> について語り、ネット上で注目を集めた。 KangNamは韓国人の母親と&nbsp;...</span>",news.aol.jp/2016/07/07/kangnam/</cite>
"韓国でいま最も人気の日本人・KangNam（カンナム）の多才ぶりがネット ...","<span class=""st"">2016年6月8日 <b>...</b> ディーンフジオカさんから逆輸入大ブームが始まっているんですが、僕が気になっている<br> 人がいるんですけれどその名前は滑川康男(なめかわやすお)さん！ なにやらヘンテコな<br> 名前なんですけどもどうやら韓国では超人気らし・・・</span>","jo-ho.biz/芸能/滑川康男<b>カンナム</b>は整形？出身大学や性格と彼女/</cite>"
"滑川康男(カンナム)は整形？出身大学や性格と彼女や父親もチェック ...","<span class=""st"">2015年5月27日 <b>...</b> 近ごろ、外国人の活躍が目まぐるしい韓国の芸能界。日本人の活動も目立っていますが<br> 、中でも韓国バラエティ界から脚光を浴びている今最もホットな日本人スターが、歌手兼<br> タレントの<b>カンナム</b>こと滑川康男(なめかわやすお)さんです。2011年&nbsp;...</span>",www.konest.com/contents/korean_life_detail.html?id=8834</cite>
"第83回～カンナムさん(歌手・タレント) | 日韓わったがった ―韓国で ...","<span class=""st"">江南スタイル』（<b>カンナム</b>スタイル、朝: &#44053;&#45224;&#49828;&#53440;&#51068;、英: Gangnam Style）は、PSY（サイ<br> ）の6枚目の正規アルバム『PSY6甲』に収録されたタイトル曲である。 目次. [非表示]. 1 <br> 概要; 2 YouTube経由で世界的大ヒットに; 3 チャート成績; 4 欧米諸国での&nbsp;...</span>",https://ja.wikipedia.org/wiki/江南スタイル</cite>
"江南スタイル - Wikipedia","<span class=""st"">2016年5月27日 <b>...</b> J-WAVE月曜ー木曜16時30分からの番組「GROOVE LINE Z」（ナビゲーター：ピストン<br> 西沢）。5月26日のオンエアではゲストに話題の異色K-POPアイドル、<b>カンナム</b>さんを<br> お迎えしました。 <b>カンナム</b>さんは、韓国で人気のHipHop&nbsp;...</span>",www.j-wave.co.jp/blog/news/2016/05/300.html</cite>
"韓国一有名な日本人、カンナムの貯金は300円だった - J-Wave","<span class=""st"">See Tweets about #<b>カンナム</b> on Twitter. See what people are saying and join the <br> conversation.</span>",https://twitter.com/hashtag/<b>カンナム</b></cite>
"#カンナム hashtag on Twitter","<span class=""st"">2016年7月5日 <b>...</b> KangNam（<b>カンナム</b>）. ひやー、勇者的にはちょっと. 嫌いなビジュアルー汗. f:id:<br> yuhei2261:20160705132504j:plain. <b>カンナム</b>って江南スタイルとは. 関係ないよね？<br> ｗ. 日本人だけど、今韓国で活躍してて. キャーキャー言われてるんだって。</span>",whatblog.hatenablog.com/entry/2016/07/05/161109</cite>
"KangNam（カンナム）は、チャラ男でヤンキーの韓国版キムタク？ - 俺の ...","<span class=""st"">2016年4月21日 <b>...</b> バラエティー番組で火がついた、“ヤスオ”こと『<b>カンナム</b>』！ 韓国で今イチバン有名な<br> 日本人といえば、この人!!! KangNam（<b>カンナム</b>）. 日本人の父と韓国人の母を持つ日韓<br> ハーフ。子供の頃は東京・西葛西で育ち、アメリカに留学後、韓国で活動&nbsp;...</span>",www.danstreet.jp/k-pop/21772/</cite>
"韓国のキムタク?! 日韓を結ぶ “ヤスオ”こと『カンナム』 - ダンストリート","<span class=""st"">2016年3月21日 <b>...</b> 滑川康男・・なめかわやすお・・ １回聞いたら忘れられないインパクト大な名前。 なめ<br> かわやすお＝通称”<b>カンナム</b>” この男の人気がヤバイ！！ ※なべかわやすおじゃない<br> ですよ。 韓国のバラエティ番組で一気に大ブレイクし人気者に。</span>",chikamama16.com/singer/8902/</cite>
"滑川康男(カンナム)って誰なんだ？！父親は日本人？プロフまとめ ...","<span class=""st"">ソウル・<b>カンナム</b>圏のビジネス＆カルチャーニュース. ... チョンダムドンに「シェイク <br> シャック」韓国2号店 限定デザートメニューも &middot; <b>カンナム</b>に新たなランドマーク「光の通り」<br> 完成 毎晩レーザーショーも &middot; 韓国スタバ進出17年、国内1000店達成 最新鋭「ブラック&nbsp;...</span>",gangnam.keizai.biz/</cite>
"カンナム経済新聞 - ソウル・カンナム圏のビジネス＆カルチャーニュース","<span class=""st"">2016年3月18日 <b>...</b> KangNam／モデルプレス＝3月18日】韓国で歌手として、またバラエティ界の新星<br> として活躍する日本人のKangNam（<b>カンナム</b>）が、5月25日に待望の日本デビューを<br> することが決定。3月18日に渋谷...</span>",www.excite.co.jp/News/asia_ent/.../Mdpr_k-enta1572326.html</cite>
"“韓国で最も有名な日本人”カンナム、日本デビューを発表 異色の経歴で ...","<span class=""st""><b>カンナム</b>. SINCE1973. CAN-AMではMOMOのステアリングやシフトノブ、TOKYO <br> BIKE等、沢山の商品を取り揃えております。特価品もご用意しておりますので是非ご<br> 来店を！ 営業時間のご案内： 11:00am～7:00pm（平日） 10:00am～6:00pm（土.､日､<br> 祝日）&nbsp;...</span>",www.canam.co.jp/</cite>
CAN-AM,"<span class=""st"">「<b>カンナム</b>」動画 14本「PSY/<b>カンナム</b>スタイル PV」「[韓国TV] ハッピートゥゲザー３ <br> <b>カンナム</b>＆サナ 2016.07.14（日本語字幕）2/2」「[韓国TV] ハッピートゥゲザー３ <b>カンナム</b><br> ＆サナ 2016.07.14（日本語字幕）1/2」</span>",www.nicovideo.jp/tag/<b>カンナム</b></cite>
"人気の「カンナム」動画 14本 - ニコニコ動画","<span class=""st"">Sing PSY - <b>カンナム</b>スタイル(カタカナ歌詞) on Sing! Karaoke. Sing your favorite <br> songs with lyrics and duet with celebrities. －説明－ ( )内の音は、 しっかり発音する<br> のではなく、 あいまいに小さく 発音するようにすると、 それらしく聞こえます(たぶん)&nbsp;...</span>",https://www.smule.com/song/...<b>カンナム</b>スタイル.../arrangement</cite>
"カンナムスタイル(カタカナ歌詞) arranged by aleaki on Sing! Karaoke ...",,
