タイトル,説明,URL
"160521 ダイノジ大地とキンタロー。の「カンナムスタイル」 ダンス完コピ ...","<span class=""st""><span class=""f""><span class=""nobr"">2016年6月16日</span> - <span class=""nobr"">1分</span> - <span class=""nobr"">アップロード元: psykyoudensetsu</span></span><br>PSY - Gangnam Style Dance Cover. ... 160521 ダイノジ大地とキンタロー。の「 <b>カン</b> <b>...</b></span>",https://www.youtube.com/watch?v=0mJuwS7Gb5E
"江南スタイル - Wikipedia","<span class=""st"">江南スタイル』（<b>カンナムスタイル</b>、朝: &#44053;&#45224;&#49828;&#53440;&#51068;、英: Gangnam Style）は、PSY（サイ<br> ）の6枚目の正規アルバム『PSY6甲』に収録されたタイトル曲である。 目次. [非表示]. 1 <br> 概要; 2 YouTube経由で世界的大ヒットに; 3 チャート成績; 4 欧米諸国での&nbsp;...</span>",https://ja.wikipedia.org/wiki/%E6%B1%9F%E5%8D%97%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB
"オリラジの「perfect HUMAN」は「カンナムスタイル」のパクリ？ - NAVER ...","<span class=""st"">オリラジの「perfect HUMAN」は「<b>カンナムスタイル</b>」のパクリ？ オリエンタルラジオ（<br> オリラジ）の新ネタ「i&#39;m a perfect HUMAN」は「<b>カンナムスタイル</b>」のパクリ？RADIO <br> FISHってなに？あっちゃんの歌詞は？ 更新日: 2016年05月27日. kamome12345さん<br> &nbsp;...</span>",https://matome.naver.jp/odai/2145767532516216501
"カンナムスタイル 意味・和訳 - NAVER まとめ","<span class=""st"">2014年12月15日 <b>...</b> 「オッパ <b>カンナムスタイル</b>」の意味って？知ってるようで知らない、『江南スタイル』 PSY（<br> サイ）の紹介や、、歌詞の和訳、ニュースなどのまとめ.</span>",https://matome.naver.jp/odai/2135770464235186001
"PERFECT HUMAN』のメロディがPSY（サイ）の「カンナムスタイル","<span class=""st"">2016年2月16日 <b>...</b> 先述したように「<b>カンナムスタイル</b>」とは、オーストラリアやカナダなど世界10カ国で公式<br> チャート1位を記録し、YouTube再生回数は4億7000万回という記録を叩き出した世界<br> 的大ヒット曲だ。日本ではそれなりに流行った程度であったが、&nbsp;...</span>",http://rocketnews24.com/2016/02/16/709787/
"人気の「カンナムスタイル」動画 89本 - ニコニコ動画","<span class=""st"">「<b>カンナムスタイル</b>」動画 89本「最低の試合」「PSY/<b>カンナムスタイル</b> PV」「<b>カンナム</b><br> <b>スタイル</b>とPERFECT HUMANとPPAPを混ぜてみた」</span>",http://www.nicovideo.jp/tag/%E3%82%AB%E3%83%B3%E3%83%8A%E3%83%A0%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB
"カンナムスタイル(カタカナ歌詞) arranged by aleaki on Sing! Karaoke ...","<span class=""st"">Sing PSY - <b>カンナムスタイル</b>(カタカナ歌詞) on Sing! Karaoke. Sing your favorite <br> songs with lyrics and duet with celebrities. －説明－ ( )内の音は、 しっかり発音する<br> のではなく、 あいまいに小さく 発音するようにすると、 それらしく聞こえます(たぶん)&nbsp;...</span>",https://www.smule.com/song/psy-%E3%82%AB%E3%83%B3%E3%83%8A%E3%83%A0%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB-%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A%E6%AD%8C%E8%A9%9E-karaoke-lyrics/86319717_262778/arrangement
"カンナム スタイル／PSY-カラオケ・歌詞検索｜JOYSOUND.com","<span class=""st"">「<b>カンナム スタイル</b>／PSY」の歌詞・楽曲情報。歌いたい曲や歌詞がすぐに見つかる<br> JOYSOUNDのカラオケ楽曲検索です。曲名・歌手名・番組名だけでなく、ランキングや<br> 特集などから簡単に曲を探すことができます。さあ、歌いたい曲を見つけてカラオケに行<br> こう.</span>",https://www.joysound.com/web/search/song/241817
"パーフェクトヒューマンの作詞作曲は？カンナムスタイルのパクリ？ | 三度 ...","<span class=""st"">スポンサーリンク. ついにMステ出演も果たして、 「パーフェクトヒューマン」 で大きく話題<br> になったオリラジ。 ふと気になったんですが、 この楽曲の作詞と作曲は、 一体誰がして<br> いるのでしょうか？ また今回の楽曲が、PSY（サイ）の「<b>カンナムスタイル</b>」のパクリでは<br> &nbsp;...</span>",http://onmymovie.com/perfecthuman-2470
"【余興】大宮駅をカンナムスタイルでジャックするスーツ軍団がかっこよ ...","<span class=""st"">2015年2月2日 <b>...</b> 出典：結婚式余興 GANGNAMSTYLE (KYGfamily) 大宮駅東口 突然、大宮駅前に<br> 現れたスーツの男性と女性たち。何が起こっているのかわからず、街ゆく人も注目し、<br> 集まってきます。完璧すぎるその<b>カンナムスタイル</b>のダンスがかっこよすぎ&nbsp;...</span>",http://fundo.jp/20337
